file,report_type,process_time_ms
1127947.txt,mode2_combined_twostep,60167
1300290.txt,mode2_combined_twostep,53267
907916.txt,mode2_combined_twostep,54149
1374538.txt,path_consult_reports,46794
724427.txt,mode2_combined_twostep,56435
245815.txt,mode2_combined_twostep,41319
1519382.txt,mode2_combined_twostep,40133
474079.txt,mode2_combined_twostep,56968
1164060.txt,mode2_combined_twostep,63140
1074265.txt,mode2_combined_twostep,53491
1269592.txt,mode2_combined_twostep,70131
493821.txt,path_consult_reports,54236
1150440.txt,path_consult_reports,55620
1448793.txt,mode2_combined_twostep,50146
1264572.txt,mode2_combined_twostep,51223
258141.txt,path_consult_reports,49139
803211.txt,mode2_combined_twostep,52601
188433.txt,mode2_combined_twostep,52965
398501.txt,mode2_combined_twostep,55814
24410.txt,mode2_combined_twostep,40985
552746.txt,mode2_combined_twostep,44772
1048782.txt,path_consult_reports,65582
1641810.txt,mode2_combined_twostep,42577
1175297.txt,mode2_combined_twostep,49770
1338382.txt,path_consult_reports,38721
1106419.txt,mode2_combined_twostep,57408
761628.txt,mode2_combined_twostep,55409
1621194.txt,mode2_combined_twostep,48977
847829.txt,mode2_combined_twostep,52849
558397.txt,path_consult_reports,61004
1108098.txt,mode2_combined_twostep,45626
598824.txt,path_consult_reports,48730
1289220.txt,mode2_combined_twostep,52383
1045725.txt,mode2_combined_twostep,51708
628445.txt,path_consult_reports,68199
1633435.txt,path_consult_reports,51425
313421.txt,mode2_combined_twostep,56005
1548911.txt,mode2_combined_twostep,64609
1247386.txt,mode2_combined_twostep,50560
907583.txt,mode2_combined_twostep,55853
1302380.txt,mode2_combined_twostep,59970
1296972.txt,mode2_combined_twostep,50113
1130120.txt,mode2_combined_twostep,60452
1319384.txt,path_consult_reports,55291
1462472.txt,path_consult_reports,72661
767722.txt,mode2_combined_twostep,57975
467893.txt,mode2_combined_twostep,53065
1262214.txt,path_consult_reports,48098
56276.txt,mode2_combined_twostep,56034
1161166.txt,mode2_combined_twostep,46245
