file,report_type,num_input_characters,extr_text_tokens,extr_prompt_instr_tokens,extr_total_needed,cot_text_tokens,cot_prompt_instr_tokens,cot_total_needed
1045725.txt,combined,2973,776,622,1398,776,801,1577
1048782.txt,combined,2592,638,622,1260,638,801,1439
1074265.txt,combined,4887,1096,622,1718,1096,801,1897
1106419.txt,combined,4364,971,622,1593,971,801,1772
1108098.txt,combined,3016,706,622,1328,706,801,1507
1127947.txt,combined,7290,1862,622,2484,1862,801,2663
1130120.txt,combined,8931,2373,622,2995,2373,801,3174
1150440.txt,combined,2358,575,622,1197,575,801,1376
1161166.txt,combined,3429,853,622,1475,853,801,1654
1164060.txt,combined,4701,1191,622,1813,1191,801,1992
1175297.txt,combined,3267,835,622,1457,835,801,1636
1247386.txt,combined,2969,716,622,1338,716,801,1517
1262214.txt,combined,2107,504,622,1126,504,801,1305
1264572.txt,combined,3311,789,622,1411,789,801,1590
1269592.txt,combined,5033,1317,622,1939,1317,801,2118
1289220.txt,combined,3921,934,622,1556,934,801,1735
1296972.txt,combined,3386,867,622,1489,867,801,1668
1300290.txt,combined,3132,758,622,1380,758,801,1559
1302380.txt,combined,10147,2827,622,3449,2827,801,3628
1319384.txt,combined,1183,286,622,908,286,801,1087
1338382.txt,combined,607,147,622,769,147,801,948
1374538.txt,combined,2664,646,622,1268,646,801,1447
1448793.txt,combined,6611,1768,622,2390,1768,801,2569
1462472.txt,combined,1751,484,622,1106,484,801,1285
1519382.txt,combined,3322,866,622,1488,866,801,1667
1548911.txt,combined,4969,1248,622,1870,1248,801,2049
1621194.txt,combined,4117,1078,622,1700,1078,801,1879
1633435.txt,combined,1629,405,622,1027,405,801,1206
1641810.txt,combined,6313,1675,622,2297,1675,801,2476
188433.txt,combined,3651,898,622,1520,898,801,1699
24410.txt,combined,3269,861,622,1483,861,801,1662
245815.txt,combined,5172,1370,622,1992,1370,801,2171
258141.txt,combined,1019,268,622,890,268,801,1069
313421.txt,combined,3157,830,622,1452,830,801,1631
398501.txt,combined,2881,761,622,1383,761,801,1562
467893.txt,combined,4711,1210,622,1832,1210,801,2011
474079.txt,combined,3737,905,622,1527,905,801,1706
493821.txt,combined,1657,422,622,1044,422,801,1223
552746.txt,combined,3238,780,622,1402,780,801,1581
558397.txt,combined,2687,693,622,1315,693,801,1494
56276.txt,combined,5103,1284,622,1906,1284,801,2085
598824.txt,combined,929,265,622,887,265,801,1066
628445.txt,combined,2738,675,622,1297,675,801,1476
724427.txt,combined,5507,1406,622,2028,1406,801,2207
761628.txt,combined,3164,797,622,1419,797,801,1598
767722.txt,combined,3680,847,622,1469,847,801,1648
803211.txt,combined,8069,2181,622,2803,2181,801,2982
847829.txt,combined,4575,1081,622,1703,1081,801,1882
907583.txt,combined,5418,1500,622,2122,1500,801,2301
907916.txt,combined,3010,755,622,1377,755,801,1556
