FieldName,TP,FP,TN,FN,Accuracy,Precision,Recall,F1
Alcohol_Consumption,39.0,1.0,10.0,0.0,0.98,0.975,1.0,0.9873417721518987
Anatomic_Site_of_Lesion,50.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Charlson_Comorbidity_Score,34.0,15.0,0.0,0.0,0.6938775510204082,0.6938775510204082,1.0,0.819277108433735
Clinical_Assessments_Radiological_Lesions,43.0,0.0,6.0,0.0,1.0,1.0,1.0,1.0
Clinical_Assessments_SUV_from_PET_scans,4.0,0.0,45.0,0.0,1.0,1.0,1.0,1.0
Clinical_TNM,36.0,2.0,12.0,0.0,0.96,0.9473684210526315,1.0,0.972972972972973
EBER_Status,3.0,0.0,47.0,0.0,1.0,1.0,1.0,1.0
ECOG_Performance_Status,44.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0
Follow_Up_Plans,45.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0
HPV_Status,38.0,0.0,12.0,0.0,1.0,1.0,1.0,1.0
Immunohistochemical_profile,40.0,0.0,10.0,0.0,1.0,1.0,1.0,1.0
Karnofsky_Performance_Status,44.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0
Lymph_Node_Status_Extranodal_Extension,32.0,1.0,17.0,0.0,0.98,0.9696969696969697,1.0,0.9846153846153847
Lymph_Node_Status_Number_of_Positve_Lymph_Nodes,47.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0
Lymph_Node_Status_Presence_Absence,48.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0
Lymphovascular_Invasion_Status,27.0,1.0,22.0,0.0,0.98,0.9642857142857143,1.0,0.9818181818181818
Pack_Years,39.0,1.0,10.0,0.0,0.98,0.975,1.0,0.9873417721518987
Pathological_TNM,21.0,0.0,28.0,1.0,0.98,1.0,0.9545454545454546,0.9767441860465117
Pathology_Details,49.0,1.0,0.0,0.0,0.98,0.98,1.0,0.98989898989899
Patient_History_Status_Previous_Treatments,45.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0
Patient_History_Status_Prior_Conditions,42.0,1.0,7.0,0.0,0.98,0.9767441860465116,1.0,0.988235294117647
Patient_Symptoms_at_Presentation,48.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0
Perineural_Invasion_Status,23.0,2.0,25.0,0.0,0.96,0.92,1.0,0.9583333333333334
Primary_Tumor_Size,43.0,1.0,6.0,0.0,0.98,0.9772727272727273,1.0,0.9885057471264368
Resection_Margins,25.0,0.0,25.0,0.0,1.0,1.0,1.0,1.0
Sex,43.0,2.0,4.0,0.0,0.9591836734693877,0.9555555555555556,1.0,0.9772727272727273
Smoking_History,45.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0
Treatment_Recommendations,45.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0
Tumor_Type_Differentiation,41.0,3.0,6.0,0.0,0.94,0.9318181818181818,1.0,0.9647058823529412
p16_Status,38.0,0.0,12.0,0.0,1.0,1.0,1.0,1.0
