FieldName,TP,FP,TN,FN,Accuracy,Precision,Recall,F1
Alcohol_Consumption,34.0,1.0,9.0,0.0,0.9772727272727273,0.9714285714285714,1.0,0.9855072463768115
Anatomic_Site_of_Lesion,44.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Charlson_Comorbidity_Score,29.0,14.0,0.0,0.0,0.6744186046511628,0.6744186046511628,1.0,0.8055555555555556
Clinical_Assessments_Radiological_Lesions,37.0,0.0,6.0,0.0,1.0,1.0,1.0,1.0
Clinical_Assessments_SUV_from_PET_scans,4.0,0.0,39.0,0.0,1.0,1.0,1.0,1.0
Clinical_TNM,31.0,2.0,11.0,0.0,0.9545454545454546,0.9393939393939394,1.0,0.96875
EBER_Status,2.0,0.0,42.0,0.0,1.0,1.0,1.0,1.0
ECOG_Performance_Status,38.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0
Follow_Up_Plans,39.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0
HPV_Status,34.0,0.0,10.0,0.0,1.0,1.0,1.0,1.0
Immunohistochemical_profile,35.0,0.0,9.0,0.0,1.0,1.0,1.0,1.0
Karnofsky_Performance_Status,38.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0
Lymph_Node_Status_Extranodal_Extension,30.0,1.0,13.0,0.0,0.9772727272727273,0.967741935483871,1.0,0.9836065573770492
Lymph_Node_Status_Number_of_Positve_Lymph_Nodes,41.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0
Lymph_Node_Status_Presence_Absence,42.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0
Lymphovascular_Invasion_Status,25.0,1.0,18.0,0.0,0.9772727272727273,0.9615384615384616,1.0,0.9803921568627451
Pack_Years,34.0,1.0,9.0,0.0,0.9772727272727273,0.9714285714285714,1.0,0.9855072463768115
Pathological_TNM,20.0,0.0,23.0,1.0,0.9772727272727273,1.0,0.9523809523809523,0.975609756097561
Pathology_Details,43.0,1.0,0.0,0.0,0.9772727272727273,0.9772727272727273,1.0,0.9885057471264368
Patient_History_Status_Previous_Treatments,39.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0
Patient_History_Status_Prior_Conditions,37.0,1.0,6.0,0.0,0.9772727272727273,0.9736842105263158,1.0,0.9866666666666666
Patient_Symptoms_at_Presentation,42.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0
Perineural_Invasion_Status,21.0,1.0,22.0,0.0,0.9772727272727273,0.9545454545454546,1.0,0.9767441860465117
Primary_Tumor_Size,37.0,1.0,6.0,0.0,0.9772727272727273,0.9736842105263158,1.0,0.9866666666666666
Resection_Margins,23.0,0.0,21.0,0.0,1.0,1.0,1.0,1.0
Sex,38.0,2.0,3.0,0.0,0.9534883720930233,0.95,1.0,0.9743589743589743
Smoking_History,39.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0
Treatment_Recommendations,39.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0
Tumor_Type_Differentiation,36.0,3.0,5.0,0.0,0.9318181818181818,0.9230769230769231,1.0,0.9600000000000001
p16_Status,34.0,0.0,10.0,0.0,1.0,1.0,1.0,1.0
