file,report_type,num_input_characters,text_tokens,extr_prompt_instr_tokens,cot_prompt_instr_tokens,total_needed
100150.txt,combined,2342,574,622,801,1997
1004073.txt,combined,1963,461,622,801,1884
1006301.txt,combined,3076,747,622,801,2170
100729.txt,combined,2941,718,622,801,2141
1007502.txt,combined,2251,611,622,801,2034
1009880.txt,combined,2542,611,622,801,2034
1012904.txt,combined,2835,665,622,801,2088
1014012.txt,combined,1639,404,622,801,1827
1016391.txt,combined,1573,376,622,801,1799
1017733.txt,combined,4084,1015,622,801,2438
1019973.txt,combined,7727,1797,622,801,3220
1020709.txt,combined,1657,374,622,801,1797
1021737.txt,combined,7795,2119,622,801,3542
1022364.txt,combined,2817,715,622,801,2138
1024961.txt,combined,2551,649,622,801,2072
1026509.txt,combined,2813,632,622,801,2055
1028731.txt,combined,2811,712,622,801,2135
1029972.txt,combined,1715,401,622,801,1824
103122.txt,combined,2268,567,622,801,1990
1031266.txt,combined,2455,585,622,801,2008
1031743.txt,combined,4617,1457,622,801,2880
1033633.txt,combined,755,203,622,801,1626
1037530.txt,combined,3527,826,622,801,2249
1041684.txt,combined,675,203,622,801,1626
1042445.txt,combined,2607,628,622,801,2051
1044430.txt,combined,411,110,622,801,1533
1044448.txt,combined,2917,726,622,801,2149
1045725.txt,combined,2973,776,622,801,2199
1046098.txt,combined,463,147,622,801,1570
1048022.txt,combined,7048,1754,622,801,3177
1048782.txt,combined,2592,638,622,801,2061
1050579.txt,combined,2702,635,622,801,2058
1050994.txt,combined,3441,938,622,801,2361
1051911.txt,combined,2603,663,622,801,2086
1057509.txt,combined,3204,825,622,801,2248
1058063.txt,combined,1252,273,622,801,1696
1058395.txt,combined,5000,1281,622,801,2704
1060096.txt,combined,2537,599,622,801,2022
1060695.txt,combined,2752,624,622,801,2047
1061513.txt,combined,663,191,622,801,1614
1063104.txt,combined,3157,793,622,801,2216
1063150.txt,combined,3648,864,622,801,2287
1063176.txt,combined,3565,841,622,801,2264
106520.txt,combined,741,208,622,801,1631
1065359.txt,combined,761,188,622,801,1611
1066410.txt,combined,3131,769,622,801,2192
1066995.txt,combined,3327,880,622,801,2303
1068235.txt,combined,2778,661,622,801,2084
1068761.txt,combined,2478,609,622,801,2032
1069515.txt,combined,2179,542,622,801,1965
1070247.txt,combined,2084,513,622,801,1936
1072739.txt,combined,2370,535,622,801,1958
1074265.txt,combined,4887,1096,622,801,2519
1075533.txt,combined,3532,801,622,801,2224
1076826.txt,combined,2583,630,622,801,2053
1076986.txt,combined,2569,625,622,801,2048
1077071.txt,combined,2365,535,622,801,1958
1077516.txt,combined,3301,799,622,801,2222
1078008.txt,combined,2670,675,622,801,2098
1078774.txt,combined,4808,1224,622,801,2647
1080401.txt,combined,2653,614,622,801,2037
1080438.txt,combined,2302,526,622,801,1949
1081091.txt,combined,3391,806,622,801,2229
1082505.txt,combined,2071,481,622,801,1904
1082999.txt,combined,7249,1946,622,801,3369
1083411.txt,combined,2674,623,622,801,2046
1083442.txt,combined,4366,1111,622,801,2534
1085010.txt,combined,3105,779,622,801,2202
1085691.txt,combined,2842,665,622,801,2088
108747.txt,combined,1698,380,622,801,1803
1089362.txt,combined,2550,578,622,801,2001
1089523.txt,combined,7347,1911,622,801,3334
108958.txt,combined,3186,790,622,801,2213
1090241.txt,combined,2326,599,622,801,2022
1092052.txt,combined,3472,825,622,801,2248
109260.txt,combined,2636,620,622,801,2043
1092994.txt,combined,2732,630,622,801,2053
1093699.txt,combined,1845,457,622,801,1880
1093969.txt,combined,4260,1068,622,801,2491
1095907.txt,combined,2906,749,622,801,2172
1096098.txt,combined,3563,810,622,801,2233
1098029.txt,combined,2292,582,622,801,2005
1098748.txt,combined,1725,436,622,801,1859
1100399.txt,combined,4120,996,622,801,2419
110054.txt,combined,5655,1448,622,801,2871
1100595.txt,combined,3085,774,622,801,2197
1102119.txt,combined,3430,767,622,801,2190
1104512.txt,combined,467,125,622,801,1548
1105247.txt,combined,4201,946,622,801,2369
1106419.txt,combined,4364,971,622,801,2394
1106938.txt,combined,5132,1262,622,801,2685
1107810.txt,combined,1628,369,622,801,1792
1107828.txt,combined,2601,621,622,801,2044
1108013.txt,combined,2705,569,622,801,1992
1108098.txt,combined,3016,706,622,801,2129
1108787.txt,combined,2893,675,622,801,2098
1109025.txt,combined,3706,915,622,801,2338
1109080.txt,combined,3374,822,622,801,2245
1109413.txt,combined,2435,630,622,801,2053
1110577.txt,combined,1143,340,622,801,1763
1110794.txt,combined,4212,1140,622,801,2563
1113863.txt,combined,3081,769,622,801,2192
1114924.txt,combined,2708,663,622,801,2086
1115749.txt,combined,4391,1085,622,801,2508
1117087.txt,combined,1881,497,622,801,1920
111738.txt,combined,2136,489,622,801,1912
1118019.txt,combined,2043,486,622,801,1909
1118257.txt,combined,2022,453,622,801,1876
1119161.txt,combined,2674,651,622,801,2074
1120697.txt,combined,3549,874,622,801,2297
1120796.txt,combined,4521,1121,622,801,2544
1120835.txt,combined,3607,968,622,801,2391
1121050.txt,combined,3902,941,622,801,2364
1122244.txt,combined,1908,466,622,801,1889
1122727.txt,combined,3815,938,622,801,2361
112340.txt,combined,4766,1196,622,801,2619
1125637.txt,combined,4665,1348,622,801,2771
1126450.txt,combined,3075,755,622,801,2178
1127404.txt,combined,4573,1163,622,801,2586
1127947.txt,combined,7290,1862,622,801,3285
1128418.txt,combined,3355,816,622,801,2239
113004.txt,combined,780,238,622,801,1661
1130120.txt,combined,8931,2373,622,801,3796
1130580.txt,combined,2982,768,622,801,2191
1131291.txt,combined,3309,824,622,801,2247
1131412.txt,combined,2382,587,622,801,2010
1132082.txt,combined,5655,1348,622,801,2771
1132653.txt,combined,2813,699,622,801,2122
1133061.txt,combined,2855,661,622,801,2084
1133805.txt,combined,3384,914,622,801,2337
1135076.txt,combined,802,219,622,801,1642
1135804.txt,combined,3903,977,622,801,2400
1136997.txt,combined,3790,1014,622,801,2437
1137628.txt,combined,1698,386,622,801,1809
1138298.txt,combined,2884,695,622,801,2118
1140774.txt,combined,4938,1204,622,801,2627
1142224.txt,combined,2176,555,622,801,1978
1142707.txt,combined,3420,846,622,801,2269
1143295.txt,combined,2689,638,622,801,2061
1144356.txt,combined,2040,500,622,801,1923
1145024.txt,combined,3278,777,622,801,2200
1145281.txt,combined,2673,677,622,801,2100
1146143.txt,combined,1859,516,622,801,1939
1146888.txt,combined,4171,1025,622,801,2448
1147283.txt,combined,2786,676,622,801,2099
1147322.txt,combined,7550,2143,622,801,3566
1149446.txt,combined,4434,1251,622,801,2674
1149638.txt,combined,3153,813,622,801,2236
1150440.txt,combined,2358,575,622,801,1998
1153778.txt,combined,2308,576,622,801,1999
1155412.txt,combined,3170,833,622,801,2256
1156267.txt,combined,2248,558,622,801,1981
1156440.txt,combined,4086,1059,622,801,2482
1157207.txt,combined,3286,808,622,801,2231
1158727.txt,combined,847,188,622,801,1611
1160623.txt,combined,480,159,622,801,1582
1161166.txt,combined,3429,853,622,801,2276
1161635.txt,combined,3484,886,622,801,2309
1162274.txt,combined,3364,802,622,801,2225
1163398.txt,combined,1794,438,622,801,1861
1164033.txt,combined,5674,1296,622,801,2719
1164049.txt,combined,1867,446,622,801,1869
1164060.txt,combined,4701,1191,622,801,2614
1164759.txt,combined,2558,692,622,801,2115
1165489.txt,combined,779,191,622,801,1614
1167024.txt,combined,3199,776,622,801,2199
1169327.txt,combined,2439,586,622,801,2009
1171744.txt,combined,3134,736,622,801,2159
1172619.txt,combined,5064,1241,622,801,2664
1173780.txt,combined,2289,577,622,801,2000
1174467.txt,combined,2616,646,622,801,2069
1175297.txt,combined,3267,835,622,801,2258
1176853.txt,combined,4013,964,622,801,2387
1177082.txt,combined,2008,518,622,801,1941
1177122.txt,combined,2641,687,622,801,2110
1177148.txt,combined,586,192,622,801,1615
1177351.txt,combined,2595,645,622,801,2068
1177630.txt,combined,636,148,622,801,1571
1178706.txt,combined,1889,454,622,801,1877
1178863.txt,combined,3658,981,622,801,2404
1181132.txt,combined,3162,845,622,801,2268
1181388.txt,combined,3744,985,622,801,2408
1181436.txt,combined,3041,730,622,801,2153
1183186.txt,combined,598,194,622,801,1617
1184300.txt,combined,783,195,622,801,1618
1185576.txt,combined,2699,695,622,801,2118
1186824.txt,combined,946,268,622,801,1691
1186884.txt,combined,5695,1561,622,801,2984
1188128.txt,combined,3083,891,622,801,2314
1189148.txt,combined,5620,1320,622,801,2743
1189263.txt,combined,3560,854,622,801,2277
1190812.txt,combined,862,261,622,801,1684
1192207.txt,combined,4542,1190,622,801,2613
1194749.txt,combined,3947,999,622,801,2422
1197023.txt,combined,5366,1348,622,801,2771
1199165.txt,combined,1122,250,622,801,1673
