file,report_type,num_input_characters,text_tokens,prompt_instr_tokens,total_needed
100150.txt,combined,2342,574,934,1508
1004073.txt,combined,1963,461,934,1395
1006301.txt,combined,3076,747,934,1681
100729.txt,combined,2941,718,934,1652
1007502.txt,combined,2251,611,934,1545
1009880.txt,combined,2542,611,934,1545
1012904.txt,combined,2835,665,934,1599
1014012.txt,combined,1639,404,934,1338
1016391.txt,combined,1573,376,934,1310
1017733.txt,combined,4084,1015,934,1949
1019973.txt,combined,7727,1797,934,2731
1020709.txt,combined,1657,374,934,1308
1021737.txt,combined,7795,2119,934,3053
1022364.txt,combined,2817,715,934,1649
1024961.txt,combined,2551,649,934,1583
1026509.txt,combined,2813,632,934,1566
1028731.txt,combined,2811,712,934,1646
1029972.txt,combined,1715,401,934,1335
103122.txt,combined,2268,567,934,1501
1031266.txt,combined,2455,585,934,1519
1031743.txt,combined,4617,1457,934,2391
1033633.txt,combined,755,203,934,1137
1037530.txt,combined,3527,826,934,1760
1041684.txt,combined,675,203,934,1137
1042445.txt,combined,2607,628,934,1562
1044430.txt,combined,411,110,934,1044
1044448.txt,combined,2917,726,934,1660
1045725.txt,combined,2973,776,934,1710
1046098.txt,combined,463,147,934,1081
1048022.txt,combined,7048,1754,934,2688
1048782.txt,combined,2592,638,934,1572
1050579.txt,combined,2702,635,934,1569
1050994.txt,combined,3441,938,934,1872
1051911.txt,combined,2603,663,934,1597
1057509.txt,combined,3204,825,934,1759
1058063.txt,combined,1252,273,934,1207
1058395.txt,combined,5000,1281,934,2215
1060096.txt,combined,2537,599,934,1533
1060695.txt,combined,2752,624,934,1558
1061513.txt,combined,663,191,934,1125
1063104.txt,combined,3157,793,934,1727
1063150.txt,combined,3648,864,934,1798
1063176.txt,combined,3565,841,934,1775
106520.txt,combined,741,208,934,1142
1065359.txt,combined,761,188,934,1122
1066410.txt,combined,3131,769,934,1703
1066995.txt,combined,3327,880,934,1814
1068235.txt,combined,2778,661,934,1595
1068761.txt,combined,2478,609,934,1543
1069515.txt,combined,2179,542,934,1476
1070247.txt,combined,2084,513,934,1447
1072739.txt,combined,2370,535,934,1469
1074265.txt,combined,4887,1096,934,2030
1075533.txt,combined,3532,801,934,1735
1076826.txt,combined,2583,630,934,1564
1076986.txt,combined,2569,625,934,1559
1077071.txt,combined,2365,535,934,1469
1077516.txt,combined,3301,799,934,1733
1078008.txt,combined,2670,675,934,1609
1078774.txt,combined,4808,1224,934,2158
1080401.txt,combined,2653,614,934,1548
1080438.txt,combined,2302,526,934,1460
1081091.txt,combined,3391,806,934,1740
1082505.txt,combined,2071,481,934,1415
1082999.txt,combined,7249,1946,934,2880
1083411.txt,combined,2674,623,934,1557
1083442.txt,combined,4366,1111,934,2045
1085010.txt,combined,3105,779,934,1713
1085691.txt,combined,2842,665,934,1599
108747.txt,combined,1698,380,934,1314
1089362.txt,combined,2550,578,934,1512
1089523.txt,combined,7347,1911,934,2845
108958.txt,combined,3186,790,934,1724
1090241.txt,combined,2326,599,934,1533
1092052.txt,combined,3472,825,934,1759
109260.txt,combined,2636,620,934,1554
1092994.txt,combined,2732,630,934,1564
1093699.txt,combined,1845,457,934,1391
1093969.txt,combined,4260,1068,934,2002
1095907.txt,combined,2906,749,934,1683
1096098.txt,combined,3563,810,934,1744
1098029.txt,combined,2292,582,934,1516
1098748.txt,combined,1725,436,934,1370
1100399.txt,combined,4120,996,934,1930
110054.txt,combined,5655,1448,934,2382
1100595.txt,combined,3085,774,934,1708
1102119.txt,combined,3430,767,934,1701
1104512.txt,combined,467,125,934,1059
1105247.txt,combined,4201,946,934,1880
1106419.txt,combined,4364,971,934,1905
1106938.txt,combined,5132,1262,934,2196
1107810.txt,combined,1628,369,934,1303
1107828.txt,combined,2601,621,934,1555
1108013.txt,combined,2705,569,934,1503
1108098.txt,combined,3016,706,934,1640
1108787.txt,combined,2893,675,934,1609
1109025.txt,combined,3706,915,934,1849
1109080.txt,combined,3374,822,934,1756
1109413.txt,combined,2435,630,934,1564
1110577.txt,combined,1143,340,934,1274
1110794.txt,combined,4212,1140,934,2074
1113863.txt,combined,3081,769,934,1703
1114924.txt,combined,2708,663,934,1597
1115749.txt,combined,4391,1085,934,2019
1117087.txt,combined,1881,497,934,1431
111738.txt,combined,2136,489,934,1423
1118019.txt,combined,2043,486,934,1420
1118257.txt,combined,2022,453,934,1387
1119161.txt,combined,2674,651,934,1585
1120697.txt,combined,3549,874,934,1808
1120796.txt,combined,4521,1121,934,2055
1120835.txt,combined,3607,968,934,1902
1121050.txt,combined,3902,941,934,1875
1122244.txt,combined,1908,466,934,1400
1122727.txt,combined,3815,938,934,1872
112340.txt,combined,4766,1196,934,2130
1125637.txt,combined,4665,1348,934,2282
1126450.txt,combined,3075,755,934,1689
1127404.txt,combined,4573,1163,934,2097
1127947.txt,combined,7290,1862,934,2796
1128418.txt,combined,3355,816,934,1750
113004.txt,combined,780,238,934,1172
1130120.txt,combined,8931,2373,934,3307
1130580.txt,combined,2982,768,934,1702
1131291.txt,combined,3309,824,934,1758
1131412.txt,combined,2382,587,934,1521
1132082.txt,combined,5655,1348,934,2282
1132653.txt,combined,2813,699,934,1633
1133061.txt,combined,2855,661,934,1595
1133805.txt,combined,3384,914,934,1848
1135076.txt,combined,802,219,934,1153
1135804.txt,combined,3903,977,934,1911
1136997.txt,combined,3790,1014,934,1948
1137628.txt,combined,1698,386,934,1320
1138298.txt,combined,2884,695,934,1629
1140774.txt,combined,4938,1204,934,2138
1142224.txt,combined,2176,555,934,1489
1142707.txt,combined,3420,846,934,1780
1143295.txt,combined,2689,638,934,1572
1144356.txt,combined,2040,500,934,1434
1145024.txt,combined,3278,777,934,1711
1145281.txt,combined,2673,677,934,1611
1146143.txt,combined,1859,516,934,1450
1146888.txt,combined,4171,1025,934,1959
1147283.txt,combined,2786,676,934,1610
1147322.txt,combined,7550,2143,934,3077
1149446.txt,combined,4434,1251,934,2185
1149638.txt,combined,3153,813,934,1747
1150440.txt,combined,2358,575,934,1509
1153778.txt,combined,2308,576,934,1510
1155412.txt,combined,3170,833,934,1767
1156267.txt,combined,2248,558,934,1492
1156440.txt,combined,4086,1059,934,1993
1157207.txt,combined,3286,808,934,1742
1158727.txt,combined,847,188,934,1122
1160623.txt,combined,480,159,934,1093
1161166.txt,combined,3429,853,934,1787
1161635.txt,combined,3484,886,934,1820
1162274.txt,combined,3364,802,934,1736
1163398.txt,combined,1794,438,934,1372
1164033.txt,combined,5674,1296,934,2230
1164049.txt,combined,1867,446,934,1380
1164060.txt,combined,4701,1191,934,2125
1164759.txt,combined,2558,692,934,1626
