file,report_type,num_input_characters,extr_text_tokens,extr_prompt_instr_tokens,extr_total_needed,cot_text_tokens,cot_prompt_instr_tokens,cot_total_needed
100150.txt,combined,2342,574,622,1196,574,801,1375
1004073.txt,combined,1963,461,622,1083,461,801,1262
1006301.txt,combined,3076,747,622,1369,747,801,1548
100729.txt,combined,2941,718,622,1340,718,801,1519
1007502.txt,combined,2251,611,622,1233,611,801,1412
1009880.txt,combined,2542,611,622,1233,611,801,1412
1012904.txt,combined,2835,665,622,1287,665,801,1466
1014012.txt,combined,1639,404,622,1026,404,801,1205
1016391.txt,combined,1573,376,622,998,376,801,1177
1017733.txt,combined,4084,1015,622,1637,1015,801,1816
1019973.txt,combined,7727,1797,622,2419,1797,801,2598
1020709.txt,combined,1657,374,622,996,374,801,1175
1021737.txt,combined,7795,2119,622,2741,2119,801,2920
1022364.txt,combined,2817,715,622,1337,715,801,1516
1024961.txt,combined,2551,649,622,1271,649,801,1450
1026509.txt,combined,2813,632,622,1254,632,801,1433
1028731.txt,combined,2811,712,622,1334,712,801,1513
1029972.txt,combined,1715,401,622,1023,401,801,1202
103122.txt,combined,2268,567,622,1189,567,801,1368
1031266.txt,combined,2455,585,622,1207,585,801,1386
1031743.txt,combined,4617,1457,622,2079,1457,801,2258
1033633.txt,combined,755,203,622,825,203,801,1004
1037530.txt,combined,3527,826,622,1448,826,801,1627
1041684.txt,combined,675,203,622,825,203,801,1004
1042445.txt,combined,2607,628,622,1250,628,801,1429
1044430.txt,combined,411,110,622,732,110,801,911
1044448.txt,combined,2917,726,622,1348,726,801,1527
1045725.txt,combined,2973,776,622,1398,776,801,1577
1046098.txt,combined,463,147,622,769,147,801,948
1048022.txt,combined,7048,1754,622,2376,1754,801,2555
1048782.txt,combined,2592,638,622,1260,638,801,1439
1050579.txt,combined,2702,635,622,1257,635,801,1436
1050994.txt,combined,3441,938,622,1560,938,801,1739
1051911.txt,combined,2603,663,622,1285,663,801,1464
1057509.txt,combined,3204,825,622,1447,825,801,1626
1058063.txt,combined,1252,273,622,895,273,801,1074
1058395.txt,combined,5000,1281,622,1903,1281,801,2082
1060096.txt,combined,2537,599,622,1221,599,801,1400
1060695.txt,combined,2752,624,622,1246,624,801,1425
1061513.txt,combined,663,191,622,813,191,801,992
1063104.txt,combined,3157,793,622,1415,793,801,1594
1063150.txt,combined,3648,864,622,1486,864,801,1665
1063176.txt,combined,3565,841,622,1463,841,801,1642
106520.txt,combined,741,208,622,830,208,801,1009
1065359.txt,combined,761,188,622,810,188,801,989
1066410.txt,combined,3131,769,622,1391,769,801,1570
1066995.txt,combined,3327,880,622,1502,880,801,1681
1068235.txt,combined,2778,661,622,1283,661,801,1462
1068761.txt,combined,2478,609,622,1231,609,801,1410
1069515.txt,combined,2179,542,622,1164,542,801,1343
1070247.txt,combined,2084,513,622,1135,513,801,1314
1072739.txt,combined,2370,535,622,1157,535,801,1336
1074265.txt,combined,4887,1096,622,1718,1096,801,1897
1075533.txt,combined,3532,801,622,1423,801,801,1602
1076826.txt,combined,2583,630,622,1252,630,801,1431
1076986.txt,combined,2569,625,622,1247,625,801,1426
1077071.txt,combined,2365,535,622,1157,535,801,1336
1077516.txt,combined,3301,799,622,1421,799,801,1600
1078008.txt,combined,2670,675,622,1297,675,801,1476
1078774.txt,combined,4808,1224,622,1846,1224,801,2025
1080401.txt,combined,2653,614,622,1236,614,801,1415
1080438.txt,combined,2302,526,622,1148,526,801,1327
1081091.txt,combined,3391,806,622,1428,806,801,1607
1082505.txt,combined,2071,481,622,1103,481,801,1282
1082999.txt,combined,7249,1946,622,2568,1946,801,2747
1083411.txt,combined,2674,623,622,1245,623,801,1424
1083442.txt,combined,4366,1111,622,1733,1111,801,1912
1085010.txt,combined,3105,779,622,1401,779,801,1580
1085691.txt,combined,2842,665,622,1287,665,801,1466
108747.txt,combined,1698,380,622,1002,380,801,1181
1089362.txt,combined,2550,578,622,1200,578,801,1379
1089523.txt,combined,7347,1911,622,2533,1911,801,2712
108958.txt,combined,3186,790,622,1412,790,801,1591
1090241.txt,combined,2326,599,622,1221,599,801,1400
1092052.txt,combined,3472,825,622,1447,825,801,1626
109260.txt,combined,2636,620,622,1242,620,801,1421
1092994.txt,combined,2732,630,622,1252,630,801,1431
1093699.txt,combined,1845,457,622,1079,457,801,1258
1093969.txt,combined,4260,1068,622,1690,1068,801,1869
1095907.txt,combined,2906,749,622,1371,749,801,1550
1096098.txt,combined,3563,810,622,1432,810,801,1611
1098029.txt,combined,2292,582,622,1204,582,801,1383
1098748.txt,combined,1725,436,622,1058,436,801,1237
1100399.txt,combined,4120,996,622,1618,996,801,1797
110054.txt,combined,5655,1448,622,2070,1448,801,2249
1100595.txt,combined,3085,774,622,1396,774,801,1575
1102119.txt,combined,3430,767,622,1389,767,801,1568
1104512.txt,combined,467,125,622,747,125,801,926
1105247.txt,combined,4201,946,622,1568,946,801,1747
1106419.txt,combined,4364,971,622,1593,971,801,1772
1106938.txt,combined,5132,1262,622,1884,1262,801,2063
1107810.txt,combined,1628,369,622,991,369,801,1170
1107828.txt,combined,2601,621,622,1243,621,801,1422
1108013.txt,combined,2705,569,622,1191,569,801,1370
1108098.txt,combined,3016,706,622,1328,706,801,1507
1108787.txt,combined,2893,675,622,1297,675,801,1476
1109025.txt,combined,3706,915,622,1537,915,801,1716
1109080.txt,combined,3374,822,622,1444,822,801,1623
1109413.txt,combined,2435,630,622,1252,630,801,1431
1110577.txt,combined,1143,340,622,962,340,801,1141
1110794.txt,combined,4212,1140,622,1762,1140,801,1941
1113863.txt,combined,3081,769,622,1391,769,801,1570
1114924.txt,combined,2708,663,622,1285,663,801,1464
1115749.txt,combined,4391,1085,622,1707,1085,801,1886
1117087.txt,combined,1881,497,622,1119,497,801,1298
111738.txt,combined,2136,489,622,1111,489,801,1290
1118019.txt,combined,2043,486,622,1108,486,801,1287
1118257.txt,combined,2022,453,622,1075,453,801,1254
1119161.txt,combined,2674,651,622,1273,651,801,1452
1120697.txt,combined,3549,874,622,1496,874,801,1675
1120796.txt,combined,4521,1121,622,1743,1121,801,1922
1120835.txt,combined,3607,968,622,1590,968,801,1769
1121050.txt,combined,3902,941,622,1563,941,801,1742
1122244.txt,combined,1908,466,622,1088,466,801,1267
1122727.txt,combined,3815,938,622,1560,938,801,1739
112340.txt,combined,4766,1196,622,1818,1196,801,1997
1125637.txt,combined,4665,1348,622,1970,1348,801,2149
1126450.txt,combined,3075,755,622,1377,755,801,1556
1127404.txt,combined,4573,1163,622,1785,1163,801,1964
1127947.txt,combined,7290,1862,622,2484,1862,801,2663
1128418.txt,combined,3355,816,622,1438,816,801,1617
113004.txt,combined,780,238,622,860,238,801,1039
1130120.txt,combined,8931,2373,622,2995,2373,801,3174
1130580.txt,combined,2982,768,622,1390,768,801,1569
1131291.txt,combined,3309,824,622,1446,824,801,1625
1131412.txt,combined,2382,587,622,1209,587,801,1388
1132082.txt,combined,5655,1348,622,1970,1348,801,2149
1132653.txt,combined,2813,699,622,1321,699,801,1500
1133061.txt,combined,2855,661,622,1283,661,801,1462
1133805.txt,combined,3384,914,622,1536,914,801,1715
1135076.txt,combined,802,219,622,841,219,801,1020
1135804.txt,combined,3903,977,622,1599,977,801,1778
1136997.txt,combined,3790,1014,622,1636,1014,801,1815
1137628.txt,combined,1698,386,622,1008,386,801,1187
1138298.txt,combined,2884,695,622,1317,695,801,1496
1140774.txt,combined,4938,1204,622,1826,1204,801,2005
1142224.txt,combined,2176,555,622,1177,555,801,1356
1142707.txt,combined,3420,846,622,1468,846,801,1647
1143295.txt,combined,2689,638,622,1260,638,801,1439
1144356.txt,combined,2040,500,622,1122,500,801,1301
1145024.txt,combined,3278,777,622,1399,777,801,1578
1145281.txt,combined,2673,677,622,1299,677,801,1478
1146143.txt,combined,1859,516,622,1138,516,801,1317
1146888.txt,combined,4171,1025,622,1647,1025,801,1826
1147283.txt,combined,2786,676,622,1298,676,801,1477
1147322.txt,combined,7550,2143,622,2765,2143,801,2944
1149446.txt,combined,4434,1251,622,1873,1251,801,2052
1149638.txt,combined,3153,813,622,1435,813,801,1614
1150440.txt,combined,2358,575,622,1197,575,801,1376
1153778.txt,combined,2308,576,622,1198,576,801,1377
1155412.txt,combined,3170,833,622,1455,833,801,1634
1156267.txt,combined,2248,558,622,1180,558,801,1359
1156440.txt,combined,4086,1059,622,1681,1059,801,1860
1157207.txt,combined,3286,808,622,1430,808,801,1609
1158727.txt,combined,847,188,622,810,188,801,989
1160623.txt,combined,480,159,622,781,159,801,960
1161166.txt,combined,3429,853,622,1475,853,801,1654
1161635.txt,combined,3484,886,622,1508,886,801,1687
1162274.txt,combined,3364,802,622,1424,802,801,1603
1163398.txt,combined,1794,438,622,1060,438,801,1239
1164033.txt,combined,5674,1296,622,1918,1296,801,2097
1164049.txt,combined,1867,446,622,1068,446,801,1247
1164060.txt,combined,4701,1191,622,1813,1191,801,1992
1164759.txt,combined,2558,692,622,1314,692,801,1493
1165489.txt,combined,779,191,622,813,191,801,992
1167024.txt,combined,3199,776,622,1398,776,801,1577
1169327.txt,combined,2439,586,622,1208,586,801,1387
1171744.txt,combined,3134,736,622,1358,736,801,1537
1172619.txt,combined,5064,1241,622,1863,1241,801,2042
1173780.txt,combined,2289,577,622,1199,577,801,1378
1174467.txt,combined,2616,646,622,1268,646,801,1447
1175297.txt,combined,3267,835,622,1457,835,801,1636
1176853.txt,combined,4013,964,622,1586,964,801,1765
1177082.txt,combined,2008,518,622,1140,518,801,1319
1177122.txt,combined,2641,687,622,1309,687,801,1488
1177148.txt,combined,586,192,622,814,192,801,993
1177351.txt,combined,2595,645,622,1267,645,801,1446
1177630.txt,combined,636,148,622,770,148,801,949
1178706.txt,combined,1889,454,622,1076,454,801,1255
1178863.txt,combined,3658,981,622,1603,981,801,1782
1181132.txt,combined,3162,845,622,1467,845,801,1646
1181388.txt,combined,3744,985,622,1607,985,801,1786
1181436.txt,combined,3041,730,622,1352,730,801,1531
1183186.txt,combined,598,194,622,816,194,801,995
1184300.txt,combined,783,195,622,817,195,801,996
1185576.txt,combined,2699,695,622,1317,695,801,1496
1186824.txt,combined,946,268,622,890,268,801,1069
1186884.txt,combined,5695,1561,622,2183,1561,801,2362
1188128.txt,combined,3083,891,622,1513,891,801,1692
1189148.txt,combined,5620,1320,622,1942,1320,801,2121
1189263.txt,combined,3560,854,622,1476,854,801,1655
1190812.txt,combined,862,261,622,883,261,801,1062
1192207.txt,combined,4542,1190,622,1812,1190,801,1991
1194749.txt,combined,3947,999,622,1621,999,801,1800
1197023.txt,combined,5366,1348,622,1970,1348,801,2149
1199165.txt,combined,1122,250,622,872,250,801,1051
120069.txt,combined,3747,847,622,1469,847,801,1648
1203807.txt,combined,2574,623,622,1245,623,801,1424
1204131.txt,combined,5967,1549,622,2171,1549,801,2350
1205641.txt,combined,2652,685,622,1307,685,801,1486
1205840.txt,combined,3418,824,622,1446,824,801,1625
1208233.txt,combined,2854,712,622,1334,712,801,1513
1208740.txt,combined,5026,1395,622,2017,1395,801,2196
1209421.txt,combined,2867,707,622,1329,707,801,1508
1211203.txt,combined,3413,940,622,1562,940,801,1741
1211282.txt,combined,805,208,622,830,208,801,1009
1211374.txt,combined,411,111,622,733,111,801,912
1212081.txt,combined,2293,572,622,1194,572,801,1373
1213422.txt,combined,2335,569,622,1191,569,801,1370
1213444.txt,combined,2207,530,622,1152,530,801,1331
12144.txt,combined,3275,765,622,1387,765,801,1566
1214634.txt,combined,4494,1151,622,1773,1151,801,1952
1215113.txt,combined,4884,1422,622,2044,1422,801,2223
1215254.txt,combined,1679,394,622,1016,394,801,1195
1218398.txt,combined,3205,771,622,1393,771,801,1572
1219243.txt,combined,4578,1118,622,1740,1118,801,1919
1221482.txt,combined,3452,860,622,1482,860,801,1661
1222698.txt,combined,3474,838,622,1460,838,801,1639
1223322.txt,combined,2223,587,622,1209,587,801,1388
1223664.txt,combined,2380,619,622,1241,619,801,1420
1224467.txt,combined,556,191,622,813,191,801,992
1226239.txt,combined,2373,542,622,1164,542,801,1343
1226244.txt,combined,3474,909,622,1531,909,801,1710
1227068.txt,combined,3685,857,622,1479,857,801,1658
1229304.txt,combined,2722,648,622,1270,648,801,1449
1229797.txt,combined,1777,453,622,1075,453,801,1254
1230627.txt,combined,4064,1041,622,1663,1041,801,1842
1231206.txt,combined,2801,681,622,1303,681,801,1482
1232897.txt,combined,1664,509,622,1131,509,801,1310
1233017.txt,combined,2968,667,622,1289,667,801,1468
123483.txt,combined,471,148,622,770,148,801,949
1236616.txt,combined,1810,468,622,1090,468,801,1269
1237068.txt,combined,3000,744,622,1366,744,801,1545
1237434.txt,combined,3016,692,622,1314,692,801,1493
1237652.txt,combined,3324,848,622,1470,848,801,1649
1237981.txt,combined,3617,867,622,1489,867,801,1668
1237993.txt,combined,1974,495,622,1117,495,801,1296
1239735.txt,combined,2444,571,622,1193,571,801,1372
1240634.txt,combined,2861,703,622,1325,703,801,1504
1243118.txt,combined,2245,509,622,1131,509,801,1310
1243481.txt,combined,2914,746,622,1368,746,801,1547
