file,report_type,subcall,num_input_characters,text_tokens,prompt_instr_tokens,total_needed
1393583.txt,pathology,path,2319,602,934,1536
1393583.txt,consult,cons,1851,512,934,1446
1435525.txt,pathology,path,837,243,934,1177
242907.txt,pathology,path,589,168,934,1102
242907.txt,consult,cons,1580,367,934,1301
912141.txt,pathology,path,2506,759,934,1693
912141.txt,consult,cons,2105,512,934,1446
92967.txt,consult,cons,1958,458,934,1392
1448793.txt,pathology,path,4180,1147,934,2081
1448793.txt,consult,cons,2430,621,934,1555
72493.txt,consult,cons,1476,396,934,1330
1457897.txt,pathology,path,493,128,934,1062
1457897.txt,consult,cons,2302,571,934,1505
1243481.txt,pathology,path,567,144,934,1078
1243481.txt,consult,cons,2352,603,934,1537
1127404.txt,pathology,path,1063,305,934,1239
1127404.txt,consult,cons,3509,858,934,1792
618683.txt,pathology,path,1154,288,934,1222
618683.txt,consult,cons,1299,320,934,1254
900490.txt,pathology,path,556,146,934,1080
900490.txt,consult,cons,2876,732,934,1666
1560589.txt,pathology,path,1833,500,934,1434
1560589.txt,consult,cons,2528,627,934,1561
900465.txt,pathology,path,399,131,934,1065
900465.txt,consult,cons,3238,832,934,1766
1384219.txt,pathology,path,929,221,934,1155
1384219.txt,consult,cons,1184,295,934,1229
1176853.txt,pathology,path,951,265,934,1199
1176853.txt,consult,cons,3061,699,934,1633
932953.txt,pathology,path,533,180,934,1114
932953.txt,consult,cons,2583,598,934,1532
1145281.txt,pathology,path,513,148,934,1082
1145281.txt,consult,cons,2159,529,934,1463
1466419.txt,pathology,path,473,130,934,1064
1466419.txt,consult,cons,1770,456,934,1390
637343.txt,pathology,path,576,148,934,1082
9131.txt,pathology,path,649,179,934,1113
9131.txt,consult,cons,3317,930,934,1864
884999.txt,pathology,path,733,182,934,1116
884999.txt,consult,cons,1575,384,934,1318
1115749.txt,pathology,path,790,263,934,1197
1115749.txt,consult,cons,3600,822,934,1756
704145.txt,pathology,path,782,252,934,1186
704145.txt,consult,cons,3648,943,934,1877
1462472.txt,consult,cons,1751,484,934,1418
436641.txt,pathology,path,1076,281,934,1215
436641.txt,consult,cons,4648,1093,934,2027
451834.txt,consult,cons,3840,960,934,1894
1089362.txt,consult,cons,2550,578,934,1512
322896.txt,pathology,path,590,190,934,1124
322896.txt,consult,cons,2278,508,934,1442
1247694.txt,consult,cons,4190,1020,934,1954
1365459.txt,pathology,path,3135,873,934,1807
1365459.txt,consult,cons,2145,503,934,1437
1232897.txt,pathology,path,680,167,934,1101
1232897.txt,consult,cons,983,342,934,1276
830115.txt,pathology,path,834,233,934,1167
830115.txt,consult,cons,2024,491,934,1425
1233017.txt,consult,cons,2968,667,934,1601
1262214.txt,pathology,path,705,165,934,1099
1262214.txt,consult,cons,1411,341,934,1275
123483.txt,pathology,path,470,148,934,1082
1016391.txt,consult,cons,1573,376,934,1310
1308813.txt,consult,cons,2980,745,934,1679
