file,report_type,subcall,num_input_characters,extr_text_tokens,extr_prompt_instr_tokens,extr_total_needed,cot_text_tokens,cot_prompt_instr_tokens,cot_total_needed
1393583.txt,pathology,path_extraction,2319,602.0,622.0,1224.0,,,
1393583.txt,pathology,path_cot,2319,,,,602.0,801.0,1403.0
1393583.txt,consult,cons_extraction,1851,512.0,622.0,1134.0,,,
1393583.txt,consult,cons_cot,1851,,,,512.0,801.0,1313.0
1435525.txt,pathology,path_extraction,837,243.0,622.0,865.0,,,
1435525.txt,pathology,path_cot,837,,,,243.0,801.0,1044.0
242907.txt,pathology,path_extraction,589,168.0,622.0,790.0,,,
242907.txt,pathology,path_cot,589,,,,168.0,801.0,969.0
242907.txt,consult,cons_extraction,1580,367.0,622.0,989.0,,,
242907.txt,consult,cons_cot,1580,,,,367.0,801.0,1168.0
912141.txt,pathology,path_extraction,2506,759.0,622.0,1381.0,,,
912141.txt,pathology,path_cot,2506,,,,759.0,801.0,1560.0
912141.txt,consult,cons_extraction,2105,512.0,622.0,1134.0,,,
912141.txt,consult,cons_cot,2105,,,,512.0,801.0,1313.0
92967.txt,consult,cons_extraction,1958,458.0,622.0,1080.0,,,
92967.txt,consult,cons_cot,1958,,,,458.0,801.0,1259.0
1448793.txt,pathology,path_extraction,4180,1147.0,622.0,1769.0,,,
1448793.txt,pathology,path_cot,4180,,,,1147.0,801.0,1948.0
1448793.txt,consult,cons_extraction,2430,621.0,622.0,1243.0,,,
1448793.txt,consult,cons_cot,2430,,,,621.0,801.0,1422.0
72493.txt,consult,cons_extraction,1476,396.0,622.0,1018.0,,,
72493.txt,consult,cons_cot,1476,,,,396.0,801.0,1197.0
1457897.txt,pathology,path_extraction,493,128.0,622.0,750.0,,,
1457897.txt,pathology,path_cot,493,,,,128.0,801.0,929.0
1457897.txt,consult,cons_extraction,2302,571.0,622.0,1193.0,,,
1457897.txt,consult,cons_cot,2302,,,,571.0,801.0,1372.0
1243481.txt,pathology,path_extraction,567,144.0,622.0,766.0,,,
1243481.txt,pathology,path_cot,567,,,,144.0,801.0,945.0
1243481.txt,consult,cons_extraction,2352,603.0,622.0,1225.0,,,
1243481.txt,consult,cons_cot,2352,,,,603.0,801.0,1404.0
1127404.txt,pathology,path_extraction,1063,305.0,622.0,927.0,,,
1127404.txt,pathology,path_cot,1063,,,,305.0,801.0,1106.0
1127404.txt,consult,cons_extraction,3509,858.0,622.0,1480.0,,,
1127404.txt,consult,cons_cot,3509,,,,858.0,801.0,1659.0
618683.txt,pathology,path_extraction,1154,288.0,622.0,910.0,,,
618683.txt,pathology,path_cot,1154,,,,288.0,801.0,1089.0
618683.txt,consult,cons_extraction,1299,320.0,622.0,942.0,,,
618683.txt,consult,cons_cot,1299,,,,320.0,801.0,1121.0
900490.txt,pathology,path_extraction,556,146.0,622.0,768.0,,,
900490.txt,pathology,path_cot,556,,,,146.0,801.0,947.0
900490.txt,consult,cons_extraction,2876,732.0,622.0,1354.0,,,
900490.txt,consult,cons_cot,2876,,,,732.0,801.0,1533.0
1560589.txt,pathology,path_extraction,1833,500.0,622.0,1122.0,,,
1560589.txt,pathology,path_cot,1833,,,,500.0,801.0,1301.0
1560589.txt,consult,cons_extraction,2528,627.0,622.0,1249.0,,,
1560589.txt,consult,cons_cot,2528,,,,627.0,801.0,1428.0
900465.txt,pathology,path_extraction,399,131.0,622.0,753.0,,,
900465.txt,pathology,path_cot,399,,,,131.0,801.0,932.0
900465.txt,consult,cons_extraction,3238,832.0,622.0,1454.0,,,
900465.txt,consult,cons_cot,3238,,,,832.0,801.0,1633.0
1384219.txt,pathology,path_extraction,929,221.0,622.0,843.0,,,
1384219.txt,pathology,path_cot,929,,,,221.0,801.0,1022.0
1384219.txt,consult,cons_extraction,1184,295.0,622.0,917.0,,,
1384219.txt,consult,cons_cot,1184,,,,295.0,801.0,1096.0
1176853.txt,pathology,path_extraction,951,265.0,622.0,887.0,,,
1176853.txt,pathology,path_cot,951,,,,265.0,801.0,1066.0
1176853.txt,consult,cons_extraction,3061,699.0,622.0,1321.0,,,
1176853.txt,consult,cons_cot,3061,,,,699.0,801.0,1500.0
932953.txt,pathology,path_extraction,533,180.0,622.0,802.0,,,
932953.txt,pathology,path_cot,533,,,,180.0,801.0,981.0
932953.txt,consult,cons_extraction,2583,598.0,622.0,1220.0,,,
932953.txt,consult,cons_cot,2583,,,,598.0,801.0,1399.0
1145281.txt,pathology,path_extraction,513,148.0,622.0,770.0,,,
1145281.txt,pathology,path_cot,513,,,,148.0,801.0,949.0
1145281.txt,consult,cons_extraction,2159,529.0,622.0,1151.0,,,
1145281.txt,consult,cons_cot,2159,,,,529.0,801.0,1330.0
